race,sex,marital,educ,age,expdesgn,odds1,odds2,earthsun,viruses,condrift,evolved,radioact,hotcore,boyorgrl,electron,bigbang,lasers,bibrev,evolvedrev,bigbangrev,female,married,race_black,race_other
1,1,1,12,57,0,1,1,0,0,0,1,1,1,0,0,0,1,2,0,1,0,1,0,0
1,2,2,13,69,0,0,1,1,0,1,1,0,1,1,0,1,1,3,0,0,1,0,0,0
1,1,5,12,31,1,1,1,1,1,1,0,0,1,0,0,0,1,2,1,1,0,0,0,0
1,2,1,14,80,1,1,0,1,0,1,0,1,1,0,0,0,0,2,1,1,1,1,0,0
1,2,1,16,39,1,1,1,1,1,1,0,0,0,1,1,1,1,2,1,0,1,1,0,0
1,2,1,12,44,1,1,1,1,1,0,0,0,1,1,0,0,1,3,1,1,1,1,0,0
1,2,1,18,52,0,1,1,0,1,1,1,1,1,1,0,1,1,2,0,0,1,1,0,0
1,1,1,10,62,0,1,1,0,0,1,0,1,1,1,0,0,0,2,1,1,0,1,0,0
1,1,1,16,42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
1,2,5,18,30,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0
1,2,1,16,38,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,0,1,1,0,0
1,1,3,13,43,1,1,1,1,0,1,1,1,1,0,0,1,1,2,0,0,0,0,0,0
1,2,3,16,56,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0
1,2,5,12,80,0,0,1,0,0,1,0,0,1,0,0,0,0,2,1,1,1,0,0,0
2,2,4,15,46,1,1,1,1,1,1,0,0,1,1,1,1,1,2,1,0,1,0,1,0
1,2,1,12,67,1,1,1,0,0,1,0,1,1,1,1,0,0,2,1,1,1,1,0,0
1,1,1,14,58,1,1,0,1,1,1,0,1,1,1,1,0,1,2,1,1,0,1,0,0
1,2,1,12,69,0,1,0,0,1,1,0,1,0,1,0,0,1,2,1,1,1,1,0,0
1,1,5,13,48,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,0,0,0,0,0
2,2,5,16,21,1,1,1,1,1,1,0,1,1,1,1,0,1,2,1,1,1,0,1,0
2,2,3,12,38,1,1,1,1,1,1,0,1,1,1,0,0,1,3,1,1,1,0,1,0
1,1,1,14,50,1,1,1,1,1,1,0,1,1,1,1,0,0,3,1,1,0,1,0,0
2,2,5,16,39,1,1,1,1,0,1,0,1,1,1,0,0,1,2,1,1,1,0,1,0
1,2,2,15,53,0,1,1,0,1,0,0,1,0,1,0,0,0,3,1,1,1,0,0,0
1,2,1,9,28,0,1,1,0,0,1,1,0,0,0,0,0,0,2,0,1,1,1,0,0
1,2,1,12,84,0,0,1,0,1,0,0,1,0,0,0,0,0,2,1,1,1,1,0,0
1,1,1,16,26,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,1,0,0
1,1,5,16,27,1,1,1,1,1,1,0,1,1,1,1,0,1,2,1,1,0,0,0,0
2,2,5,14,20,1,0,0,0,1,0,0,0,0,1,1,0,0,3,1,1,1,0,1,0
1,1,5,13,30,0,1,1,1,0,0,0,1,1,1,0,0,1,3,1,1,0,0,0,0
1,2,1,12,46,0,1,1,1,1,1,0,0,1,0,0,0,0,3,1,1,1,1,0,0
1,2,2,13,79,0,1,1,0,1,0,0,0,1,1,0,0,1,3,1,1,1,0,0,0
1,1,1,13,62,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,0,0
1,1,1,12,35,0,1,1,1,0,1,0,0,1,1,0,0,1,3,1,1,0,1,0,0
1,2,1,14,39,1,1,1,1,0,1,0,1,1,0,1,0,1,3,1,1,1,1,0,0
1,2,1,12,49,0,1,1,0,1,1,1,1,1,0,0,1,1,2,0,0,1,1,0,0
3,2,5,12,20,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1
1,1,5,17,25,1,1,1,1,0,1,1,1,0,0,1,0,1,2,0,1,0,0,0,0
1,1,3,14,55,0,1,1,0,0,0,1,1,0,1,0,0,0,2,0,1,0,0,0,0
1,1,1,12,35,1,1,1,1,1,1,1,1,1,0,1,1,1,2,0,0,0,1,0,0
2,1,3,13,58,0,1,1,1,0,1,0,1,0,0,1,0,1,2,1,1,0,0,1,0
1,2,1,18,62,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,1,1,0,0
1,1,1,20,72,0,1,0,1,1,0,0,1,0,0,1,0,1,2,1,1,0,1,0,0
1,2,1,16,87,0,0,1,0,0,1,0,1,0,0,0,0,0,2,1,1,1,1,0,0
1,1,1,16,68,1,1,1,1,1,1,1,1,0,1,1,1,1,2,0,0,0,1,0,0
1,1,3,16,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,2,5,15,37,1,1,1,0,1,1,1,0,1,1,1,1,0,2,0,0,1,0,0,0
3,1,3,11,48,0,1,1,0,0,0,0,0,1,0,1,0,0,2,1,1,0,0,0,1
1,2,1,19,26,1,1,0,0,0,1,0,1,1,1,1,0,1,3,1,1,1,1,0,0
1,1,1,16,86,0,1,1,0,0,0,0,1,1,0,1,0,1,2,1,1,0,1,0,0
1,2,1,14,82,0,1,1,1,1,0,1,1,0,1,0,0,0,2,0,1,1,1,0,0
1,2,3,14,49,0,1,1,0,0,1,0,0,0,0,0,0,0,2,1,1,1,0,0,0
1,2,5,18,24,1,1,1,0,0,1,1,1,1,1,0,1,0,3,0,0,1,0,0,0
1,2,1,15,36,1,1,0,1,1,1,0,1,1,1,1,0,1,3,1,1,1,1,0,0
1,2,1,16,23,1,1,1,1,1,1,1,1,1,1,1,0,1,2,0,1,1,1,0,0
2,2,1,16,49,0,1,1,1,0,1,0,1,1,1,1,0,0,3,1,1,1,1,1,0
